NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	192	0.83043927	3.380574	0.0	0.0	0.0	1846	tags=71%, list=9%, signal=78%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	193	0.6626467	2.6886215	0.0	0.0	0.0	2629	tags=55%, list=13%, signal=63%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.70277685	2.431807	0.0	0.0	0.0	3116	tags=62%, list=16%, signal=73%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	0.5801199	2.3859346	0.0	0.0	0.0	2788	tags=37%, list=14%, signal=42%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.5737522	2.3309762	0.0	0.0	0.0	3382	tags=39%, list=17%, signal=47%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	148	0.57555676	2.2479084	0.0	0.0	0.0	2879	tags=39%, list=14%, signal=45%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	110	0.5173339	1.9846656	0.0	0.0	0.0	3147	tags=39%, list=16%, signal=46%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.3850814	1.5705259	0.0012870013	0.01112357	0.141	1963	tags=26%, list=10%, signal=29%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.37136918	1.517992	0.0013351135	0.01858591	0.246	3334	tags=29%, list=17%, signal=34%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	152	0.37827465	1.50173	0.008230452	0.020437697	0.29	2915	tags=29%, list=15%, signal=34%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	0.4091532	1.3737723	0.078461535	0.06589574	0.702	4128	tags=43%, list=21%, signal=55%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.34154204	1.2697363	0.11640954	0.14694145	0.947	4226	tags=38%, list=21%, signal=48%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	0.30804294	1.1766542	0.15395895	0.2726874	0.997	3214	tags=24%, list=16%, signal=28%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	156	0.28845957	1.1516143	0.17962466	0.30038962	0.999	1777	tags=18%, list=9%, signal=20%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.27978206	1.1514031	0.17829457	0.28070965	0.999	2053	tags=20%, list=10%, signal=22%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.34860152	1.1268157	0.2852761	0.30817014	1.0	3822	tags=29%, list=19%, signal=35%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	0.27155823	1.1118437	0.25329816	0.31983858	1.0	1753	tags=15%, list=9%, signal=16%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	102	0.26644632	1.0049019	0.45762712	0.5275823	1.0	3739	tags=27%, list=19%, signal=34%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	0.23986429	0.97626317	0.50985545	0.5658931	1.0	3529	tags=27%, list=18%, signal=33%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	199	0.2300914	0.9468316	0.5699615	0.6028484	1.0	1976	tags=13%, list=10%, signal=14%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		199	0.22040693	0.89985317	0.71710527	0.677673	1.0	4184	tags=28%, list=21%, signal=35%	
