NAME	TITLE	SCORE	
Fam3d		30.093903	
Gsta4		29.886276	
Spink5		29.010332	
Tspan8		28.623232	
Serpinb11		27.263208	
Gabrp		26.66976	
Wfdc2		25.340263	
Mlph		24.825542	
Fxyd3		24.472479	
Anxa1		23.992342	
Atp1b1		23.536928	
Ly6d		22.072758	
Rptn		21.940197	
Cdkn2a		21.551256	
Pdzk1ip1		21.50847	
St8sia6		21.26367	
Acsl1		20.834942	
Slc12a2		20.573687	
Elf3		20.415104	
Por		20.393682	
Gsto1		20.16125	
Krt23		19.895754	
Serpinb2		19.680437	
Nupr1		18.70487	
Cyp2f2		18.600973	
Tspan1		18.513483	
Mmp15		18.132292	
Isg20		18.016348	
Pir		17.966526	
Alcam		17.898474	
Cd14		17.717947	
Ttc36		17.60332	
Runx1		17.269993	
Ablim1		17.265623	
Bace2		17.19815	
Foxq1		17.126528	
Ly6g6e		16.97519	
Timp2		16.943466	
Ckap4		16.846365	
Foxa1		16.844702	
Ctsd		16.833311	
Slco1a5		16.707323	
Rab27b		16.659561	
Prdx5		16.625376	
Gne		16.5561	
Reg3g		16.340857	
Anxa8		16.330658	
Cd2ap		16.168228	
Cdh1		16.159782	
Cxcl17		16.153105	
Cftr		16.107786	
Ptp4a2		16.069855	
Chp1		16.058784	
Krt78		15.996577	
Cdkn2b		15.797749	
Slc5a9		15.758385	
Ece1		15.543313	
Gfpt1		15.510027	
Plet1		15.4531765	
Lmo4		15.429113	
Tacstd2		15.390124	
Mal2		15.36704	
Ldhb		15.340929	
Perp		15.289295	
Pof1b		15.221607	
Pigr		15.147456	
Idh1		15.126831	
Calml3		15.044312	
Btg1		14.980159	
Klf5		14.917585	
Ly6e		14.852918	
C1galt1		14.847228	
Sh3bgrl2		14.828314	
Cdkn1a		14.765188	
Cd24a		14.700025	
Kcnj16		14.639211	
Kctd14		14.631356	
Psca		14.610379	
Krt80		14.589593	
St3gal4		14.588304	
Klf4		14.580334	
Slc9a4		14.567392	
Sftpd		14.455413	
Smim6		14.38606	
Cldn3		14.338519	
Slc34a2		14.265469	
Peli1		14.185988	
Smagp		14.139558	
Scnn1a		14.076945	
Gsn		14.0095415	
Lrrc26		13.986963	
Mecom		13.928151	
Hes1		13.922539	
Lratd1		13.921152	
Aqp4		13.879864	
Pglyrp1		13.875141	
Cldn4		13.776498	
Plxnb2		13.76673	
Slc16a11		13.766523	
Gcnt2		13.6421995	
Cd9		13.629509	
Avpi1		13.581542	
Atp10b		13.557956	
Sat1		13.553405	
Nccrp1		13.538763	
Sdc1		13.506793	
Cttnbp2		13.4756155	
Emp2		13.458704	
Atp2a2		13.454248	
Krt19		13.404031	
Ly6a		13.390017	
Cracr2b		13.249762	
Rnf186		13.155712	
Fut9		13.123778	
Slc44a4		13.123235	
Clu		13.07412	
Hspb1		13.06337	
Plekhb2		13.034782	
Slc44a1		13.01642	
Btg2		12.91376	
Ide		12.90359	
Ahnak		12.870298	
Limk2		12.8420105	
Atp1a1		12.830042	
Sbsn		12.736826	
Spint1		12.7352085	
Tjp3		12.731499	
Fmo2		12.706531	
Krt6a		12.699764	
Cyp2a5		12.673776	
Kctd12		12.653993	
Gm2a		12.639099	
Ly6g6c		12.597882	
Vill		12.562983	
Ltf		12.535646	
Ephx1		12.525369	
Pmm1		12.445285	
Ikzf3		12.427846	
Serpinb7		12.36985	
Capsl		12.344864	
Mgat3		12.334529	
Ermp1		12.306634	
Myo5c		12.285807	
Vamp5		12.170538	
Fos		12.12994	
Sdc4		12.120961	
Itgam		12.119777	
Lpcat4		12.065887	
Aldh3a1		12.007261	
Klf3		11.985755	
Mark2		11.978544	
Pls3		11.933952	
2200002D01Rik		11.9249115	
Clic3		11.896593	
Cpd		11.830465	
Pttg1ip		11.824687	
S100a11		11.823854	
Mboat1		11.76482	
Spink1		11.763493	
Ybx3		11.722039	
Trim2		11.706239	
Erbb3		11.672491	
Psapl1		11.666053	
Galnt5		11.660086	
Styk1		11.622912	
Depp1		11.593439	
Gk		11.537322	
Hebp2		11.510136	
Tgoln1		11.472318	
Pgap2		11.469027	
Myh14		11.461052	
Cbr3		11.411524	
Jup		11.38841	
Vamp8		11.333965	
Pmaip1		11.330258	
Fam83e		11.330132	
Sdcbp		11.325073	
Sfn		11.325029	
Actn4		11.313717	
Mapk3		11.304502	
Gm94		11.292911	
Cast		11.2771225	
Slc35a1		11.142972	
Metrnl		11.136722	
Tmod3		11.0951805	
Dusp1		11.088687	
Txnip		11.08553	
Slk		11.04393	
Mfsd6		11.042575	
Tmc4		11.015647	
Rassf3		11.01157	
Homer2		10.98981	
Eps8l1		10.937614	
Tst		10.927146	
Zfp36l1		10.9210615	
Jund		10.905216	
Cldn23		10.903749	
Stard10		10.896139	
Cxcl3		10.892369	
AA467197		10.883081	
Smim14		10.868092	
Larp4b		10.861268	
Cxadr		10.851679	
Psen1		10.80283	
Nectin4		10.782371	
Cpm		10.743373	
Tmem43		10.703252	
Add3		10.695149	
Sorbs2		10.657315	
