NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	193	0.60156065	2.1644516	0.0	0.0	0.0	3517	tags=52%, list=18%, signal=62%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.51943916	1.7057208	0.0	0.006583194	0.032	3208	tags=44%, list=16%, signal=52%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	148	0.4651112	1.6093969	0.0012722646	0.0141772805	0.098	4340	tags=41%, list=22%, signal=52%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	187	0.40777788	1.459532	0.009569378	0.06288154	0.447	3095	tags=30%, list=16%, signal=35%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	152	0.4139735	1.4595002	0.01011378	0.05030523	0.447	2735	tags=28%, list=14%, signal=33%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	192	0.35886177	1.2956327	0.06519065	0.1951214	0.942	4292	tags=34%, list=22%, signal=43%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	0.35482818	1.2825851	0.051995162	0.1863498	0.961	2777	tags=26%, list=14%, signal=29%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.35529196	1.2769233	0.05105853	0.16993213	0.968	3290	tags=30%, list=17%, signal=35%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.3175107	1.145948	0.20173268	0.38076812	1.0	2752	tags=23%, list=14%, signal=26%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	194	0.29333007	1.063589	0.31516588	0.5519053	1.0	1380	tags=12%, list=7%, signal=13%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	102	0.30861104	1.0314581	0.42272127	0.5886793	1.0	3186	tags=26%, list=16%, signal=31%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	0.27508524	0.9372198	0.59620595	0.79172343	1.0	5193	tags=43%, list=26%, signal=58%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.32281056	0.896992	0.60567826	0.8333527	1.0	844	tags=11%, list=4%, signal=12%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.2482126	0.88961715	0.71736526	0.79091793	1.0	1597	tags=13%, list=8%, signal=14%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	111	0.23310545	0.788594	0.85564303	0.93371993	1.0	4142	tags=24%, list=21%, signal=31%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	130	0.21743743	0.74561095	0.9289406	0.9278319	1.0	3172	tags=15%, list=16%, signal=17%	
