NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	190	-0.46546584	-2.1218445	0.0	0.0	0.0	3556	tags=44%, list=18%, signal=53%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	192	-0.44559115	-1.9906943	0.0	0.0019396552	0.001	3666	tags=38%, list=18%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	-0.3845374	-1.8084426	0.0	0.0045258617	0.002	2060	tags=35%, list=10%, signal=38%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	-0.38679478	-1.7635081	0.0	0.008243535	0.004	3230	tags=42%, list=16%, signal=50%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.43021977	-1.6638869	0.017094018	0.0143534485	0.008	5457	tags=57%, list=27%, signal=78%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	85	-0.40774384	-1.6364633	0.0	0.0147629315	0.011	2849	tags=36%, list=14%, signal=42%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	-0.32334244	-1.5580301	0.0	0.021751847	0.019	2738	tags=31%, list=14%, signal=35%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	197	-0.3047612	-1.429025	0.0	0.06193042	0.06	2692	tags=31%, list=14%, signal=35%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.39995837	-1.4232658	0.059880238	0.056126848	0.062	4496	tags=44%, list=23%, signal=57%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	-0.29514128	-1.4033235	0.0	0.055686582	0.07	5246	tags=45%, list=26%, signal=61%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	-0.39341295	-1.3962418	0.067567565	0.055473313	0.077	4120	tags=44%, list=21%, signal=55%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	199	-0.29606518	-1.3591918	0.0	0.06990326	0.104	2995	tags=28%, list=15%, signal=33%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	-0.2572694	-1.2072589	0.05	0.17431916	0.258	3340	tags=31%, list=17%, signal=37%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	185	-0.2620245	-1.1869141	0.055555556	0.17971724	0.281	2950	tags=28%, list=15%, signal=32%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	-0.25769028	-1.1690019	0.0	0.19331077	0.313	3288	tags=29%, list=17%, signal=35%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	110	-0.2581507	-1.1666876	0.11363637	0.18203703	0.313	3193	tags=27%, list=16%, signal=32%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	-0.26200342	-1.1450541	0.14285715	0.19943497	0.357	3332	tags=30%, list=17%, signal=35%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.2505104	-1.1442689	0.1	0.18898381	0.359	3628	tags=35%, list=18%, signal=42%	
