NAME	TITLE	SCORE	
Rptn		14.778379	
Lars2		14.462092	
Fam3d		13.1446905	
Snhg11		12.980603	
Spink5		12.019652	
Grip2		11.866501	
Btg2		10.696914	
Slc5a9		10.339327	
Cyp2a5		10.282148	
Anxa1		10.273085	
Atp2a2		10.227902	
2310022A10Rik		10.095561	
mt-Nd1		10.06052	
Nabp1		9.715066	
Atp1b1		9.707052	
Rab11fip1		9.558296	
Golga4		9.42666	
Vmp1		9.32436	
Ahnak		9.31842	
Cftr		9.306769	
Clip1		9.094659	
Cttnbp2		9.071313	
mt-Nd5		9.059313	
Cd2ap		8.987268	
Dsp		8.834701	
Serpinb2		8.8014765	
Krt23		8.801026	
Rabgap1		8.794855	
Noct		8.753127	
Sat1		8.736069	
Plxnb2		8.630117	
Clec2d		8.596689	
Nopchap1		8.488342	
Ece1		8.487792	
Elf3		8.434089	
Klf5		8.427142	
mt-Nd2		8.425836	
Pecam1		8.412695	
Kdm7a		8.396316	
Kctd12		8.375805	
Cdh1		8.354027	
Atp10b		8.320511	
Acsl1		8.30564	
Pigr		8.187998	
Saa3		8.111944	
Btg1		7.9201226	
Errfi1		7.9179754	
Mlph		7.896356	
Slc34a2		7.8877254	
Fosl2		7.852546	
mt-Nd4		7.8406615	
Nfkbiz		7.8046346	
Slk		7.792856	
Gabrp		7.7697816	
Atp1a1		7.753734	
Hipk1		7.7466764	
Mmp15		7.742519	
Sema3f		7.676018	
Ptp4a2		7.6408286	
Nupr1		7.6132026	
Cyp2f2		7.582102	
Alcam		7.573348	
Cldn4		7.473607	
Skint8		7.4657707	
Skint3		7.4583497	
Rbm47		7.4307446	
Myo10		7.4085693	
Gsta4		7.405717	
Ddi2		7.398993	
Ets2		7.3883147	
mt-Cytb		7.3866835	
Plekha6		7.365004	
Trib1		7.357259	
Zc3h7a		7.3421745	
Gne		7.321563	
Por		7.2927017	
Mtrnr2l7		7.277284	
Cast		7.2443423	
Klf4		7.2400284	
Ankrd11		7.21043	
Mprip		7.1816416	
Sorbs2		7.143289	
Tjp3		7.1410627	
Ccnl1		7.104855	
Nav2		7.1029553	
Ubc		7.073937	
Adam10		7.0172133	
Fxyd3		7.0086646	
Esrp1		6.9710298	
Erbb3		6.957655	
Akap13		6.9482226	
Ikzf3		6.9452767	
Tchh		6.9262815	
Lratd1		6.917678	
Rapgefl1		6.8811164	
Wfdc2		6.8732963	
Nbeal2		6.8419294	
Vmn1r13		6.8402843	
Depp1		6.826849	
Jun		6.8143563	
Mecom		6.7972026	
Elapor1		6.7941966	
Myh14		6.787934	
Pdzk1ip1		6.7717485	
Serpinb11		6.753398	
Fads2b		6.737208	
Map3k1		6.7158504	
Sptbn1		6.6868396	
Cgn		6.668699	
Resf1		6.6590557	
Slc44a1		6.649642	
Stox2		6.6172223	
Gsn		6.585066	
Pard3		6.576579	
Igf2bp2		6.565028	
Lrp6		6.561837	
Nfat5		6.557633	
Jup		6.556127	
Ccnl2		6.510233	
Krt78		6.503797	
Nsd3		6.5035524	
Npepps		6.495565	
Egr1		6.465294	
Bmt2		6.4575067	
Mark2		6.4370356	
Ablim1		6.4323177	
Tob1		6.412951	
Zmynd8		6.3804812	
Spint1		6.374034	
BC005537		6.3691664	
Fry		6.3581014	
Ttc36		6.354958	
Peli1		6.3484206	
Ints6l		6.341183	
Adam8		6.3023267	
Sftpd		6.286461	
Net1		6.2845283	
Ide		6.2808714	
Sfn		6.243482	
Ankrd17		6.239835	
Dhcr24		6.2349415	
Xdh		6.2232924	
Tacstd2		6.2213254	
Gcnt2		6.199193	
Txnip		6.1958337	
Erbb2		6.1920815	
Alas1		6.1904116	
Sgpl1		6.1683364	
Ank2		6.1663413	
Dusp4		6.151262	
Pmaip1		6.1494136	
Sun2		6.13913	
Fosb		6.1266637	
Pde6a		6.085283	
Kmt2e		6.0841703	
Tanc1		6.0800214	
Jag1		6.0641365	
Nectin4		6.062441	
Acox1		6.044457	
Mal2		6.0371246	
Cd24a		6.025789	
Kdm6b		6.0127625	
Car12		6.0126495	
Perp		5.999634	
Tcim		5.9953136	
Ssh2		5.9923067	
Hjurp		5.9893856	
Lrba		5.985695	
Tmem43		5.9710274	
Asph		5.9543295	
Arhgap5		5.952249	
Serpina7		5.9418845	
Sh3bgrl2		5.9323063	
Larp4b		5.9254794	
Mfsd6		5.9188733	
Ankhd1		5.9138	
Ptprf		5.9100223	
Arap2		5.872859	
Limk2		5.8728094	
C1galt1		5.8680997	
Tead3		5.866219	
Lmo7		5.8378615	
Npffr1		5.828198	
Atp11b		5.8269105	
Nipbl		5.8075852	
Clint1		5.799108	
St8sia6		5.7795935	
Ptprk		5.769951	
Cxadr		5.764243	
Marchf7		5.7323866	
Ly6e		5.7143364	
Foxa1		5.703433	
Tgif1		5.6788216	
Il1r1		5.666587	
Tfcp2l1		5.6654944	
Nsd1		5.662012	
Vps54		5.647283	
Ttc7		5.6404	
Zbtb7a		5.6395073	
Cldn23		5.630506	
Myo5b		5.6228967	
Acp3		5.6220055	
Dapl1		5.6168866	
H2-K1		5.6158204	
Malt1		5.6104994	
Tbl1xr1		5.5883856	
Hspb1		5.581323	
