NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	-0.4569071	-1.7663891	0.0	0.0068611326	0.009	3688	tags=39%, list=19%, signal=47%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.3943088	-1.5233749	0.0	0.08530766	0.205	2120	tags=27%, list=11%, signal=30%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	185	-0.39731357	-1.5076859	0.0012269939	0.06992444	0.246	2740	tags=32%, list=14%, signal=37%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.3877254	-1.4819635	0.002522068	0.07190443	0.32	4940	tags=44%, list=25%, signal=58%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	192	-0.3925976	-1.4812279	0.0037313432	0.05815939	0.324	4614	tags=45%, list=23%, signal=58%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	198	-0.37124118	-1.4341307	0.010830325	0.07825569	0.467	2911	tags=30%, list=15%, signal=35%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	186	-0.3645662	-1.3914458	0.014634146	0.103782676	0.63	2736	tags=28%, list=14%, signal=33%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	101	-0.38293505	-1.366767	0.043824703	0.11506148	0.699	3631	tags=30%, list=18%, signal=36%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	197	-0.35276765	-1.3596103	0.02676399	0.11138405	0.732	4298	tags=40%, list=22%, signal=51%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	193	-0.35504264	-1.3587487	0.01126408	0.10151719	0.733	3848	tags=34%, list=19%, signal=42%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	186	-0.35243773	-1.3547915	0.01831502	0.09589934	0.746	6234	tags=48%, list=31%, signal=70%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	95	-0.38404977	-1.352906	0.0330251	0.09024807	0.757	3417	tags=39%, list=17%, signal=47%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	197	-0.33676222	-1.3031753	0.040201005	0.1344567	0.9	2880	tags=27%, list=14%, signal=32%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	129	-0.3497018	-1.2946265	0.055837564	0.13610198	0.913	4484	tags=30%, list=23%, signal=39%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	-0.3347096	-1.2862107	0.046835445	0.13777384	0.935	2438	tags=29%, list=12%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	193	-0.3320275	-1.2762202	0.047735617	0.14082871	0.952	4661	tags=35%, list=23%, signal=46%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	-0.42202222	-1.2742715	0.13112392	0.13473485	0.959	4808	tags=46%, list=24%, signal=61%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	-0.35230947	-1.2667917	0.08928572	0.13569213	0.967	3805	tags=31%, list=19%, signal=39%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	-0.42684612	-1.2624735	0.15736766	0.13266978	0.97	1837	tags=25%, list=9%, signal=27%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	-0.33061084	-1.2441343	0.085185185	0.1466869	0.983	3102	tags=33%, list=16%, signal=38%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		94	-0.35360485	-1.2219883	0.14401077	0.16595384	0.991	2762	tags=28%, list=14%, signal=32%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		111	-0.32092056	-1.164595	0.19582245	0.24418767	1.0	3267	tags=29%, list=16%, signal=34%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		181	-0.3039976	-1.1598103	0.17533253	0.24149112	1.0	2948	tags=19%, list=15%, signal=22%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		71	-0.33832628	-1.1402407	0.24221921	0.26535642	1.0	3271	tags=39%, list=16%, signal=47%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		151	-0.29682773	-1.1111684	0.2614796	0.3093722	1.0	2948	tags=25%, list=15%, signal=29%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		48	-0.35719773	-1.1038221	0.31120333	0.31091306	1.0	2901	tags=31%, list=15%, signal=37%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		199	-0.26637167	-1.0300226	0.382494	0.4464413	1.0	4373	tags=37%, list=22%, signal=47%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		44	-0.32195437	-0.99542445	0.4647303	0.50942004	1.0	4513	tags=41%, list=23%, signal=53%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		195	-0.24957477	-0.9665601	0.5319149	0.5557277	1.0	4466	tags=31%, list=22%, signal=40%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		198	-0.2170526	-0.8405491	0.84210527	0.80855286	1.0	5016	tags=28%, list=25%, signal=37%	
