NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	193	-0.6899807	-2.6302245	0.0	0.0	0.0	2508	tags=52%, list=13%, signal=59%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	192	-0.6551452	-2.4941876	0.0	0.0	0.0	3947	tags=60%, list=20%, signal=74%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	187	-0.52675396	-2.0009801	0.0	4.1666668E-4	0.001	2312	tags=35%, list=12%, signal=39%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.5975375	-1.8855428	0.0	3.1250002E-4	0.001	3899	tags=50%, list=20%, signal=62%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.5875189	-1.8173952	0.0	4.852941E-4	0.002	2810	tags=50%, list=14%, signal=58%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	148	-0.4900485	-1.815994	0.0	4.0441172E-4	0.002	2130	tags=29%, list=11%, signal=32%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	190	-0.46938807	-1.7882776	0.0	5.582789E-4	0.003	1728	tags=26%, list=9%, signal=28%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	-0.46273404	-1.7580656	0.0	0.0013771774	0.009	4271	tags=50%, list=21%, signal=63%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	133	-0.47620308	-1.7305828	0.0	0.0021484445	0.016	5592	tags=54%, list=28%, signal=75%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	-0.439915	-1.6819955	0.0	0.0038474856	0.031	2635	tags=41%, list=13%, signal=47%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.43902922	-1.6813327	0.0	0.0036375744	0.032	3925	tags=43%, list=20%, signal=54%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	197	-0.43187433	-1.6617771	0.0	0.0034419699	0.033	4326	tags=45%, list=22%, signal=57%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	199	-0.42916232	-1.6499888	0.0	0.0038343892	0.04	3931	tags=43%, list=20%, signal=53%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	-0.42971364	-1.6399256	0.0	0.0041026664	0.045	6067	tags=55%, list=31%, signal=78%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	156	-0.43235177	-1.6060351	0.0	0.005786925	0.068	5325	tags=48%, list=27%, signal=65%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	198	-0.40769297	-1.5668296	0.0	0.009028399	0.111	2632	tags=31%, list=13%, signal=36%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.40971863	-1.5620495	0.0	0.00909808	0.117	3858	tags=42%, list=19%, signal=52%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	93	-0.4477931	-1.5377464	0.003241491	0.011065252	0.151	1370	tags=25%, list=7%, signal=26%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.5266837	-1.5054545	0.04006678	0.014878183	0.202	3804	tags=50%, list=19%, signal=62%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	160	-0.39838055	-1.4820275	0.0074850298	0.017774226	0.251	2794	tags=37%, list=14%, signal=43%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		110	-0.41047174	-1.4666874	0.01088647	0.021032443	0.3	3372	tags=32%, list=17%, signal=38%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		39	-0.4746118	-1.4325403	0.046551723	0.02889356	0.399	4816	tags=51%, list=24%, signal=68%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		85	-0.4132664	-1.4322413	0.03421462	0.027757261	0.4	3936	tags=47%, list=20%, signal=58%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		195	-0.377154	-1.4319994	0.004497751	0.026859947	0.405	4038	tags=38%, list=20%, signal=47%	
